Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1980,0.73,2.9,1.22,0.08,T,0.23,1.78,1.95,2.93,0.22,0,0.19,12.23
1981,1.29,0.71,1.98,0.56,0.26,0.16,6.17,0.8,1.1,0.06,0.61,0,13.7
1982,1.56,0.06,1.26,0.05,0.51,0.13,2.13,2.51,2.69,0,1.3,1.59,13.79
1983,1.7,0.94,1.28,0.14,T,0,1.98,4.24,4.28,4.98,1.71,0.61,21.86
1984,0.62,0,0,0.36,0.06,1.05,2.92,4.19,1.81,0.77,0.45,3.3,15.53
1985,1.71,1.08,0.2,0.45,T,0.07,3.14,1.97,1.13,2.03,0.95,0.15,12.88
1986,0.98,1.13,1.3,T,0.44,0.06,1.82,3.56,0.31,0.5,0.42,1.28,11.8
1987,0.59,1.64,0.83,0.8,0.74,0.16,0.37,2.79,2.3,0.34,0.44,1.5,12.5
1988,0.41,0.53,0.35,1.15,0.02,0.15,1.69,3.64,0.8,2.09,0.75,0.05,11.63
1989,0.96,0.23,0.62,0,0.13,0.06,1.42,0.9,0.02,1.84,0.12,0.18,6.48
1990,0.96,0.71,0.38,0.1,0.03,0.64,5.45,2.7,1.63,0.58,0.23,1.54,14.95
1991,1.15,0.91,1.4,0,0,0.2,0.44,2.17,1.54,0.73,0.8,1.44,10.78
1992,1.21,1.8,2.12,0.19,1.11,0.07,0.93,4.55,0.94,0.03,T,3.47,16.42
1993,4.81,1.5,0.49,0,0.59,0.02,0.26,4.93,0.46,0.81,0.98,0.14,14.99
1994,0.02,1.03,1.14,0.04,0.52,0.26,0.41,0.45,1.46,0.76,1.83,3.71,11.63
1995,1.41,1.32,0.54,0.28,0.15,T,0.04,3.71,2.29,0.36,0.86,0.22,11.18
1996,0.01,0.81,0.32,T,0,T,1.88,1.87,3.68,1.74,0.19,T,10.5
1997,0.93,0.67,0.02,0.47,0.44,0.02,0.51,2.32,1.43,0.38,0.49,2.88,10.56
1998,0.17,3.2,1.64,0.39,T,0,4.06,1.7,1.1,0.24,0.67,0.45,13.62
1999,0.01,T,T,1.34,0,0.16,4.15,3.05,0.97,T,0,T,9.68
2000,0.1,0.19,0.93,T,0,1.56,1.59,1.7,0.02,4.98,1.36,T,12.43
2001,1.24,0.46,0.88,0.84,0.24,0.54,1.09,0.85,0.33,0.69,0.05,0.6,7.81
2002,0.34,0.27,0.07,0,0,0,2.47,1.63,1.68,0.5,0.23,0.64,7.83
2003,0.08,1.02,0.51,0.04,0.13,T,2.5,2.04,2.16,0.38,1.03,0.16,10.05
2004,0.79,0.45,1.12,1.05,T,T,0.86,0.95,0.61,0.62,0.44,0.71,7.6
2005,1.35,1.27,0.37,0.33,0.63,0.01,0.72,4.52,0.05,0.31,0,0.01,9.57
2006,T,T,0.41,T,T,0.5,5.4,3.01,1.6,0.27,T,0.62,11.81
2007,0.71,0.04,0.59,0.15,0.14,T,5.22,0.9,0.45,0.02,0.8,0.76,9.78
2008,0.17,1.22,0.37,0.05,0.02,0.16,3.42,1.7,0.24,T,0.27,1,8.62
2009,0.63,0.56,0.18,0.29,0.67,0.01,1.78,0.33,0.74,0.05,0.13,0.3,5.67
2010,2.1,1.89,0.52,0.23,0.02,0,2.71,2.04,0.7,0.46,T,0.46,11.13
2011,T,0.25,0.02,0.28,0,0.03,1.64,1.35,5.6,0.06,0.97,2.03,12.23
2012,0.14,0.08,0.34,0.12,T,0.34,4.13,1.17,0.38,T,0.03,1.18,7.91
2013,0.81,0.79,0.01,0.12,0.01,0.03,2.6,0.48,0.63,0,2.22,0.83,8.53
2014,T,0.01,0.58,0.02,T,0,1.43,1.89,2.76,1.33,0,2.17,10.19
2015,2.54,0.41,0.5,0.16,0.09,0.56,2.08,1.8,2.4,2.25,0.16,0.47,13.42
2016,1.53,0.18,0.11,0.71,0,1.59,3.32,1.09,1.6,0.1,0.5,1.08,11.81
2017,1.18,0.2,0.21,T,0.02,T,6.8,1.74,0.03,0,0.09,0.5,10.77
2018,0.02,1.96,T,0,T,0.91,2.26,2.71,1.14,2.87,0.07,1.5,13.44